codigo_usina,mes,volume_referencia
34,1,17914.64
34,2,18327.45
34,3,18984.29
34,4,19249.9
34,5,18980.37
34,6,18679.49
34,7,18459.26
34,8,18144.2
34,9,17961.53
34,10,17703.21
34,11,17584.57
34,12,17800.56
37,1,2330.11
37,2,2553.7
37,3,2847.19
37,4,2920.42
37,5,2943.1
37,6,2975.98
37,7,2869.87
37,8,2634.91
37,9,2430.41
37,10,2218.51
37,11,2091.75
37,12,2093.76
38,1,544.0
38,2,544.0
38,3,544.0
38,4,544.0
38,5,544.0
38,6,544.0
38,7,544.0
38,8,544.0
38,9,544.0
38,10,544.0
38,11,544.0
38,12,544.0
39,1,985.0
39,2,985.0
39,3,985.0
39,4,985.0
39,5,985.0
39,6,985.0
39,7,985.0
39,8,985.0
39,9,985.0
39,10,985.0
39,11,985.0
39,12,985.0
40,1,6416.22
40,2,6689.21
40,3,6955.42
40,4,7094.81
40,5,7160.8
40,6,7144.47
40,7,7023.98
40,8,6781.41
40,9,6515.48
40,10,6366.48
40,11,6154.76
40,12,6178.67
42,1,2720.0
42,2,2720.0
42,3,2720.0
42,4,2720.0
42,5,2720.0
42,6,2720.0
42,7,2720.0
42,8,2720.0
42,9,2720.0
42,10,2720.0
42,11,2720.0
42,12,2720.0
43,1,11981.9
43,2,12161.71
43,3,12575.89
43,4,12380.38
43,5,12169.85
43,6,11995.41
43,7,11917.3
43,8,11911.98
43,9,11623.45
43,10,11418.17
43,11,11251.71
43,12,11335.37
45,1,3354.0
45,2,3354.0
45,3,3354.0
45,4,3354.0
45,5,3354.0
45,6,3354.0
45,7,3354.0
45,8,3354.0
45,9,3354.0
45,10,3354.0
45,11,3354.0
45,12,3354.0
46,1,14894.25
46,2,14868.52
46,3,14869.5
46,4,14834.54
46,5,14876.84
46,6,14886.67
46,7,14805.51
46,8,14777.61
46,9,14849.4
46,10,14929.76
46,11,14877.2
46,12,14853.37
47,1,5575.41
47,2,5672.38
47,3,5804.31
47,4,5919.75
47,5,5858.88
47,6,5959.2
47,7,5973.45
47,8,5859.86
47,9,5678.4
47,10,5483.37
47,11,5401.15
47,12,5329.77
48,1,84.0
48,2,84.0
48,3,84.0
48,4,84.0
48,5,84.0
48,6,84.0
48,7,84.0
48,8,84.0
48,9,84.0
48,10,84.0
48,11,84.0
48,12,84.0
49,1,7300.11
49,2,7420.39
49,3,7523.13
49,4,7661.58
49,5,7708.26
49,6,7864.21
49,7,7946.48
49,8,7807.0
49,9,7602.99
49,10,7398.15
49,11,7247.11
49,12,7111.13
50,1,45.0
50,2,45.0
50,3,45.0
50,4,45.0
50,5,45.0
50,6,45.0
50,7,45.0
50,8,45.0
50,9,45.0
50,10,45.0
50,11,45.0
50,12,45.0
51,1,151.0
51,2,151.0
51,3,151.0
51,4,151.0
51,5,151.0
51,6,151.0
51,7,151.0
51,8,151.0
51,9,151.0
51,10,151.0
51,11,151.0
51,12,151.0
52,1,212.0
52,2,212.0
52,3,212.0
52,4,212.0
52,5,212.0
52,6,212.0
52,7,212.0
52,8,212.0
52,9,212.0
52,10,212.0
52,11,212.0
52,12,212.0
57,1,1957.18
57,2,1901.09
