data,6,7,17,18,24,25,31,33,37,40,47,49,61,122
nome,FURNAS,M. DE MORAES,MARIMBONDO,A. VERMELHA,EMBORCACAO,NOVA PONTE,ITUMBIARA,SAO SIMAO,BARRA BONITA,PROMISSAO,A.A. LAYDNER,CHAVANTES,CAPIVARA,SANTA BRANCA
2016_12_rv0,96.53,96.53,72.64,73.38,97.51,98.14,91.78,71.81,89.67,79.32,93.68,87.04,87.04,44.27
2016_12_rv1,95.99,95.99,71.5,72.51,97.38,98.04,91.34,70.42,89.17,78.29,90.93,84.51,84.51,44.27
2016_12_rv2,95.99,95.99,71.5,72.06,97.38,98.04,91.27,69.42,89.17,78.29,90.93,84.51,84.51,39.01
2016_12_rv3,94.64,94.64,70.49,72.06,96.38,97.04,90.35,69.42,88.15,78.29,88.4,81.98,81.98,39.01
2016_12_rv4,95.41,95.41,70.49,72.06,97.21,97.92,90.8,69.42,88.46,78.29,86.41,81.98,81.98,39.01
2017_01_rv0,95.41,95.41,70,71.35,97.21,97.92,90.8,68.56,88.46,78.01,86.41,79.61,79.61,39.01
2017_01_rv1,95.99,95.99,70.15,71.52,97.73,98.04,90.85,68.74,88.54,78.1,86.41,79.61,79.61,39.01
2017_01_rv2,96.4,96.4,70.15,71.52,97.73,98.04,90.85,68.74,88.54,78.1,86.41,74.05,74.05,39.01
2017_01_rv3,96.46,96.46,70.15,71.52,97.73,98.04,90.85,68.74,88.54,78.1,86.41,74.05,74.05,36.37
2017_02_rv0,96.81,96.81,71.48,73.05,97.73,98.04,91.34,70.42,89.17,79.28,86.41,74.05,74.05,36.37
2017_02_rv1,96.84,96.84,74.64,76.67,97.73,98.3,92.5,74.37,90.61,81.2,87.99,91.42,91.42,36.37
2017_02_rv2,97.09,97.09,76.25,78.51,97.91,98.44,93.09,76.41,91.35,83.51,87.99,91.42,91.42,39.01
2017_02_rv3,97.34,97.34,77.85,80.34,98.09,98.57,93.69,78.43,92.09,84.92,91.79,91.42,91.42,39.01
2017_03_rv0,97.71,97.71,80.19,83.03,98.35,98.77,94.55,81.37,93.18,86.98,91.79,92.27,92.27,41.64
2017_03_rv1,97.91,97.91,81.54,84.58,98.5,98.88,95.05,83.07,93.8,88.16,93.36,95.73,95.73,44.27
2017_03_rv2,98.12,98.12,82.91,86.13,98.65,98.99,95.54,84.78,94.43,89.33,93.36,98.03,98.03,44.27
2017_03_rv3,98.4,98.4,84.68,88.16,98.85,99.14,96.19,87,95.25,90.88,94.63,98.03,98.03,44.27
2017_03_rv4,98.72,98.72,86.75,90.54,99.08,99.32,96.96,89.62,95.71,92.76,97.88,98.03,98.03,44.27
2017_04_rv0,98.94,98.94,88.17,92.16,99.24,99.43,97.49,91.41,95.71,94.36,97.88,94.77,94.77,44.27
2017_04_rv1,99.23,99.23,90.06,94.33,99.45,99.59,98.18,93.77,95.71,95.72,97.88,92.17,92.17,46.9
2017_04_rv2,99.7,99.7,93.04,97.76,99.78,99.84,99.28,97.53,95.71,98.26,95.07,92.17,92.17,46.9
2017_04_rv3,99.78,99.78,93.57,98.36,99.84,99.88,99.47,98.19,95.71,98.73,92.29,89.61,89.61,46.9
2017_05_rv0,100,100,95,100,100,100,100,100,95.71,100,90.93,89.61,100,100
2017_05_rv1,100,100,95,100,100,100,100,100,95.71,100,86.95,86.95,100,100
2017_05_rv2,100,100,95,100,100,100,100,100,95.71,100,86.95,86.95,100,100
2017_05_rv3,100,100,95,100,100,100,100,100,95.71,100,86.95,86.95,100,100
2017_06_rv0,100,100,95,100,100,100,100,100,96.49,100,86.95,86.95,100,100
2017_06_rv1,100,100,95,100,100,100,100,100,98.83,100,86.95,86.95,100,100
2017_06_rv2,100,100,95,100,100,100,100,100,98.83,100,86.95,86.95,100,100
2017_06_rv3,100,100,95,100,100,100,100,100,99.22,100,88.09,88.06,100,100
2017_06_rv4,100,100,95,100,100,100,100,100,100,100,88.88,88.89,100,100
2017_07_rv0,100,100,95,100,100,100,100,100,100,100,88.88,88.89,100,100
2017_07_rv1,100,100,95,100,100,100,100,100,100,100,88.88,88.89,100,100
2017_07_rv2,100,100,95,100,100,100,100,100,100,100,90.33,90.33,100,100
2017_07_rv3,100,100,95,100,100,100,100,100,100,100,94.03,94.05,100,100
2017_08_rv0,100,100,95,100,100,100,100,100,100,100,96.15,96.12,100,100
2017_08_rv1,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_08_rv2,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_08_rv3,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_09_rv0,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_09_rv1,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_09_rv2,100,100,95,100,100,100,100,100,100,100,97.79,98.03,100,100
2017_09_rv3,100,100,95,100,100,100,100,100,100,100,96.3,96.28,100,100
2017_09_rv4,100,100,95,100,100,100,100,100,100,100,96.3,96.28,100,100
2017_10_rv0,100,100,95,100,100,100,100,100,100,100,93.68,94.67,100,100
2017_10_rv1,100,100,95,100,100,100,100,100,100,100,93.68,94.67,100,100
2017_10_rv2,100,100,95,100,100,100,100,100,100,100,93.68,94.84,100,100
2017_10_rv3,100,100,95,100,100,100,100,100,100,100,97.25,94.84,100,100
2017_11_rv0,100,100,95,100,100,100,100,100,100,100,96.34,94.9,100,45.06
2017_11_rv1,99.98,99.84,94.89,99.86,99.98,99.99,99.96,99.86,99.96,99.91,94.94,92.18,100,44.27
2017_11_rv2,98.86,91.24,87.68,91.6,99.18,99.39,97.3,90.78,96.61,93.56,94.94,92.18,100,44.27
2017_11_rv3,97.34,80,77.85,80.34,98.09,98.57,93.69,78.43,92.09,84.92,93.55,87.05,100,44.27
2017_12_rv0,96.42,80,71.9,72.53,97.43,98.07,91.5,70.45,89.36,78.67,93.55,87.05,100,44.27
2017_12_rv1,94.95,80,71.79,72.53,97.43,98.06,91.46,70.45,89.28,78.67,90.78,81.98,100,44.27
2017_12_rv2,94.95,80,71.79,72.53,97.43,98.06,91.46,70.45,89.28,78.67,90.78,81.98,100,39.01
2017_12_rv3,94.41,80,70.06,71.56,96.33,97,90.19,68.88,87.96,60.2,89.4,76.98,100,39.01
2017_12_rv4,94.41,80,67.89,69.08,96.09,96.82,89.39,66.16,86.94,76.03,89.36,76.98,93.01,39.01
2018_01_rv0,95.3,80,68.02,69.68,97.09,97.82,90.07,66.16,87.57,76.03,87.62,74.01,88.59,39.01
2018_01_rv1,95.7,80,68.02,69.68,97.35,97.95,90.07,66.16,87.57,76.22,87.62,74.05,83.4,92.11
2018_01_rv2,96.11,80,68.02,69.68,97.35,97.95,90.07,66.05,87.57,76.22,84.37,74.05,83.4,92.11
2018_01_rv3,96.32,80,70.42,71.83,97.35,97.95,90.96,69.08,88.66,78.1,84.37,74.05,83.4,89.47
2018_02_rv0,96.32,80,71.25,72.74,97.35,98.03,91.26,70.11,89.05,78.1,88,86.53,83.4,89.47
2018_02_rv1,96.42,80,71.92,73.55,97.43,98.07,91.5,70.96,89.36,79.14,88,92.68,88.92,86.84
2018_02_rv2,96.73,80,73.92,75.84,97.65,98.25,92.24,73.48,90.3,81.44,88,94.06,89.8,89.47
2018_02_rv3,97.1,80,76.33,78.6,97.92,98.44,93.13,76.5,91.39,83.55,92.11,94.06,97.76,92.11
2018_03_rv0,97.48,80.6,78.75,81.37,98.18,98.64,94.02,79.53,92.52,85.67,92.11,96.68,97.76,92.11
2018_03_rv1,97.72,82.44,80.29,83.15,98.36,98.78,94.59,81.5,93.22,87.03,92.11,96.68,97.76,97.37
2018_03_rv2,97.94,84.12,81.69,84.74,98.51,98.89,95.1,83.25,93.84,88.3,92.14,96.68,97.76,97.37
2018_03_rv3,98.26,86.56,83.75,87.1,98.74,99.07,95.86,85.85,94.82,90.08,95.26,98.03,97.76,97.37
2018_03_rv4,98.62,89.36,86.08,89.79,99,99.26,96.72,88.77,95.71,92.15,98.03,98.03,97.76,97.37
2018_04_rv0,98.96,92,88.31,92.32,99.26,99.44,97.53,91.57,95.71,94.13,98.03,96.72,97.76,100
2018_04_rv1,99.2,93.84,89.85,94.1,99.43,99.58,98.11,93.52,95.71,95.49,98.03,96.72,97.76,100
2018_04_rv2,99.65,97.28,92.72,97.39,99.75,99.81,99.16,97.13,95.71,97.98,96.76,95.16,100,100
2018_04_rv3,99.85,98.88,94.05,98.92,99.89,99.92,99.65,98.81,95.71,99.15,95.36,95.16,100,100
2018_05_rv0,100,100,95,100,100,100,100,100,95.71,100,93.97,92.57,100,100
2018_05_rv1,100,100,95,100,100,100,100,100,95.71,100,92.58,92.61,100,100
2018_05_rv2,100,100,95,100,100,100,100,100,95.71,100,89.7,89.86,100,100
2018_05_rv3,100,100,95,100,100,100,100,100,95.71,100,88,89.82,100,100
2018_06_rv0,100,100,95,100,100,100,100,100,96.49,100,88,89.82,100,100
2018_06_rv1,100,100,95,100,100,100,100,100,98.83,100,88,89.16,100,100
2018_06_rv2,100,100,95,100,100,100,100,100,98.83,100,88.31,90.15,100,100
2018_06_rv3,100,100,95,100,100,100,100,100,99.22,100,88.95,91.46,100,100
2018_06_rv4,100,100,95,100,100,100,100,100,100,100,92.93,92.91,100,100
2018_07_rv0,100,100,95,100,100,100,100,100,100,100,94.38,94.35,100,100
2018_07_rv1,100,100,95,100,100,100,100,100,100,100,94.38,94.35,100,100
2018_07_rv2,100,100,95,100,100,100,100,100,100,100,94.19,93.08,100,100
2018_07_rv3,100,100,95,100,100,100,100,100,100,100,93.08,93.07,100,100
2018_08_rv0,100,100,95,100,100,100,100,100,100,100,96.62,96.62,100,100
2018_08_rv1,100,100,95,100,100,100,100,100,100,100,98.03,97.9,100,100
2018_08_rv2,100,100,95,100,100,100,100,100,100,100,98.03,97.9,100,100
2018_08_rv3,100,100,95,100,100,100,100,100,100,100,98.03,97.9,100,100
2018_08_rv4,100,100,95,100,100,100,100,100,100,100,98.03,97.9,100,100
2018_09_rv0,100,100,95,100,100,100,100,100,100,100,98.03,97.9,100,100
2018_09_rv1,100,100,95,100,100,100,100,100,100,100,95.64,95.67,100,100
2018_09_rv2,100,100,95,100,100,100,100,100,100,100,93.69,93.47,100,100
2018_09_rv3,100,100,95,100,100,100,100,100,100,100,91.47,91.46,100,100
2018_10_rv0,100,100,95,100,100,100,100,100,100,100,89.86,89.85,100,100
2018_10_rv1,100,100,95,100,100,100,100,100,100,100,93.08,93.07,100,100
2018_10_rv2,100,100,95,100,100,100,100,100,100,100,94.69,94.68,100,100
2018_10_rv3,100,100,95,100,100,100,100,100,100,100,96.94,96.95,100,100
2018_11_rv0,100,100,95,100,100,100,100,100,100,100,95.08,94.77,100,98.16
2018_11_rv1,99.93,99.48,94.56,99.5,99.95,99.96,99.84,99.46,99.81,99.62,95.08,94.77,100,97.37
2018_11_rv2,98.47,88.24,85.15,88.72,98.9,99.18,96.38,87.62,95.48,91.35,92.3,92.18,100,97.37
2018_11_rv3,96.99,80,75.55,77.71,97.83,98.38,92.85,75.54,91.04,82.89,92.3,92.18,100,97.37
2018_11_rv4,96.72,80,73.82,75.33,97.64,98.24,92.21,73.36,90.22,80.36,89.54,87.05,100,97.37
2018_12_rv0,95.47,80,71.06,72.57,97.33,98.01,91.18,69.87,90.22,80.36,89.54,87.05,100,97.37
2018_12_rv1,94.82,80,70.48,71.89,97.27,98.01,90.97,69.13,90.22,80.36,88.17,81.98,100,92.11
2018_12_rv2,94.82,80,70.48,71.89,97.27,97.96,90.97,69.13,88.31,78.43,88.17,81.98,89.29,92.11
2018_12_rv3,94.82,80,68.19,68.29,97.01,97.76,90.13,66.19,87.65,75.42,86.8,78.22,87.28,92.11
2019_01_rv0,94.77,80,60.61,68,95.96,96.72,88.6,65.16,86.4,55.36,86.8,78.22,87.28,92.11
2019_01_rv1,94.78,80,55.8,68,95.97,96.73,88.6,65.16,64.19,55.36,85.44,75.74,83.4,92.11
2019_01_rv2,95.85,80,68.21,69.3,97.01,97.76,89.81,66.3,87.65,76.32,85.44,75.74,83.4,92.11
2019_01_rv3,96,80,69.22,69.45,97.13,97.85,89.81,66.55,88.11,76.32,84.09,73.89,83.4,89.47
2019_02_rv0,96.75,80,70.53,71.97,97.66,97.96,91,69.21,88.7,78.48,84.09,73.89,83.4,84.21
2019_02_rv1,96.75,80,74.01,75.64,97.66,98.25,92.28,73.57,90.34,80.5,84.09,80.72,85.45,86.84
2019_02_rv2,96.93,80,75.21,77.33,97.79,98.35,92.72,75.09,91.7,84.12,84.09,87.05,91.98,94.74
2019_02_rv3,97.21,80,76.98,79.34,97.99,98.5,93.37,77.31,91.7,84.12,88.17,87.05,100,94.74
2019_03_rv0,97.54,81.12,79.16,81.85,98.24,98.68,94.17,80.09,92.6,86.04,88.17,94.06,100,94.74
